timestamp,host,cpu_model,backend,library,library_version,impl,workload,dtype,pattern,nrows,ncols,nnz,num_threads,batches,seconds_target,passes_e2e,seconds_kernel,energy_j,avg_power_w,below_target,bytes_total,bw_gb_s,temp_c,time_mode,energy_mode,omp_proc_bind,omp_places,energy_domain,numa_policy,notes,seconds_wall,kWh_e2e,energy_per_pass_j,kWh_per_pass,seconds_per_pass,M,K,N,flops_per_pass,joule_per_gflop,gflops,flops_per_watt,gb_per_s_kernel,j_per_gb_kernel
2025-10-15T20:05:29,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,0,1,243437,0.9531,51.461,54.0,0,13711345588,14.39,45.8,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9531,1.4294722222222222e-05,0.00021139350222028696,5.872041728341305e-11,3.9151813405521756e-06,,,,,,,,14.386051398594063,3.7531692035417756
2025-10-15T20:05:30,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,1,1,243437,0.9561,51.519,53.9,0,13711345588,14.34,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9561,1.4310833333333334e-05,0.00021163175688165725,5.878659913379368e-11,3.927504857519604e-06,,,,,,,,14.34091160757243,3.7573992770694065
2025-10-15T20:05:31,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,2,1,243437,0.9561,51.529,53.9,0,13711345588,14.34,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9561,1.4313611111111112e-05,0.00021167283527154872,5.879800979765242e-11,3.927504857519604e-06,,,,,,,,14.34091160757243,3.7581286000914123
2025-10-15T20:05:32,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,3,1,243437,0.957,51.596,53.9,0,13711345588,14.33,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.957,1.4332222222222221e-05,0.00021194806048382126,5.887446124550591e-11,3.931201912609833e-06,,,,,,,,14.327424856844305,3.763015064338848
2025-10-15T20:05:33,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,4,1,243437,0.9564,51.645,54.0,0,13711345588,14.34,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9564,1.4345833333333334e-05,0.0002121493445942893,5.89303734984137e-11,3.928737209216347e-06,,,,,,,,14.336413203680468,3.7665887471466744
2025-10-15T20:05:34,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,5,1,243437,0.9564,51.516,53.9,0,13711345588,14.34,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9564,1.431e-05,0.00021161943336468983,5.878317593463606e-11,3.928737209216347e-06,,,,,,,,14.336413203680468,3.757180480162805
2025-10-15T20:05:35,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,6,1,243437,0.956,51.491,53.9,0,13711345588,14.34,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.956,1.4303055555555555e-05,0.00021151673738996127,5.875464927498923e-11,3.9270940736206906e-06,,,,,,,,14.342411702928871,3.7553571726077917
2025-10-15T20:05:36,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,7,1,243437,0.9564,51.536,53.9,0,13711345588,14.34,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9564,1.4315555555555557e-05,0.00021170159014447272,5.880599726235354e-11,3.928737209216347e-06,,,,,,,,14.336413203680468,3.7586391262068157
2025-10-15T20:05:37,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,8,1,243437,0.9566,51.488,53.8,0,13711345588,14.33,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9566,1.4302222222222223e-05,0.00021150441387299382,5.875122607583162e-11,3.929558777014176e-06,,,,,,,,14.333415835249843,3.75513837570119
2025-10-15T20:05:38,rock-tobefilledbyoem,AMD Ryzen Threadripper 3970X 32-Core Processor,cpu,OpenMP,native-omp,omp,spmv,fp32,STENCIL_5PT_2D,1024,1024,4992,1,9,1,243437,0.9563,51.443,53.8,0,13711345588,14.34,46.2,kernel,kernel,spread,cores,rapl_pkg,first_touch,byte_model=csr_theoretical;hint=off;,0.9563,1.4289722222222221e-05,0.0002113195611184824,5.869987808846734e-11,3.928326425317434e-06,,,,,,,,14.337912358046637,3.7518564221021657
