problem_size,configuration,num_threads,runtime_per_op_s,total_energy_per_op_j,strict_pareto,practical_pareto_2pct,platform,session_count,runtime_per_op_s_robust_cv_pct,total_energy_per_op_j_robust_cv_pct,edp_total_j_s_robust_cv_pct
1,1T,1,0.058018885416666666,4.513918666666667,False,False,AMD,5,0.009505639489156243,0.7929449035265377,0.3936543024034026
1,2T,2,0.029196006085714286,2.8118081,False,False,AMD,5,0.2714227751129905,0.35111409558853285,0.423355694938083
1,4T,4,0.014366088678571427,1.9024574859154928,False,False,AMD,5,0.7487323358266945,0.42387945633535234,1.2081737497607097
1,8T,8,0.007198861827338129,1.436976713768116,False,False,AMD,5,0.21849150493873487,0.07494567934736876,0.14378315946327644
1,10T,10,0.0058883297836257315,1.3504036666666668,False,False,AMD,5,0.1426030725739322,0.02369203755566744,0.1508489252372053
1,16T,16,0.0037927238890977447,1.0872644022556393,False,False,AMD,5,0.4587549429879916,0.4195478111088104,0.8576207281781953
1,20T,20,0.003141410581504702,0.9009298228840126,False,False,AMD,5,1.0544353068362704,0.9805523272803279,2.0545216366295356
1,32T,32,0.0021982584226579523,0.5786336383442265,True,True,AMD,5,0.39668631129121157,0.491691503939778,0.8989105176587464
1,64T,64,0.0022112709112554114,0.5902663311688312,False,True,AMD,5,0.2224800871281186,0.31518788937618103,0.4926792792487554
2,1T,1,0.033796265783333335,2.5258530500000003,False,False,AMD,5,2.906328305687952,2.2312269508587734,5.441295732680368
2,2T,2,0.016445322000000002,1.51065818852459,False,False,AMD,5,2.951392327497926,1.6693217519359609,4.638187730404598
2,4T,4,0.007506848857142857,0.9603028421052632,False,False,AMD,5,0.5336650586019731,0.29162448820090614,0.3838637666264128
2,8T,8,0.0038291366278195484,0.7276963679245283,False,False,AMD,5,0.529670283812724,0.3168980182893113,0.8539683247415263
2,10T,10,0.0031099920869565216,0.6817055,False,False,AMD,5,0.4418234466517069,1.026281890162384,1.332255755355105
2,16T,16,0.001999462026679842,0.5726117303149607,False,False,AMD,5,0.03837747873739598,0.12850537056646355,0.20260648958357272
2,20T,20,0.0016444488265802268,0.4716930081037277,False,False,AMD,5,0.4608614403642444,0.3993374771698637,0.8354852593113349
2,32T,32,0.0011579776864988557,0.3157316819221968,True,True,AMD,5,0.9090760046748321,1.4303547617147045,2.251138436206803
2,64T,64,0.0011905276137440758,0.30222202535377357,True,True,AMD,5,0.32262980490050414,0.36453546468529585,0.5252533648204081
3,1T,1,0.031075772166666665,2.3728950151515154,False,False,AMD,5,0.8912189225042141,0.9058944974586265,1.8264052318183868
3,2T,2,0.014927503962686568,1.4271104626865672,False,False,AMD,5,0.12035933624918144,0.2104907622490377,0.3497530768158806
3,4T,4,0.007419971537037036,0.9717812888888888,False,False,AMD,5,0.20633432377922523,0.6928030829850682,1.1056230406163479
3,8T,8,0.0037727315770676693,0.7390405582706767,False,False,AMD,5,0.5510203369903794,0.2506592318112901,0.7120734064267406
3,10T,10,0.0031042082962962963,0.6967087593167702,False,False,AMD,5,0.15613182470858164,0.06302200331482731,0.21387817722308627
3,16T,16,0.001979654570158103,0.5679677262845849,False,False,AMD,5,0.09447647196549004,0.23154924399763938,0.3225195615719624
3,20T,20,0.0016642344595041321,0.477626873553719,False,False,AMD,5,0.17188915629251905,0.18054042829326408,0.35219186473544195
3,32T,32,0.0011554848568985177,0.3091019224629418,True,True,AMD,5,0.1361751877058213,0.36025289037604435,0.4277745936425581
