problem_size,platform,platform_label,configuration,num_threads,energy_domain,runtime_s_median,energy_j_median,throughput_gflops_median,efficiency_gflop_per_j_median,edp_j_s_median,runtime_penalty_vs_global_best_pct,energy_penalty_vs_global_best_pct,pareto_strict,pareto_practical_2pct,tradeoff_class
64,3090,RTX 3090,gpu_resident,-1,GPU board NVML,5.217029646225186e-06,0.0008412728598968,100.4954994609532,0.6232080279688508,4.3884049941422e-09,131.38829681679445,585.6405729411613,False,False,dominated
64,5060ti,RTX 5060 Ti,gpu_resident,-1,GPU board NVML,9.9198e-06,0.0003328180970606,52.852678481421,1.575298953483701,3.305062765486325e-09,339.967909406847,171.24801194919036,False,False,dominated
64,AMD,AMD CPU,1T,1,CPU package RAPL,6.141290389648509e-06,0.0004489162576312,85.37098341477501,1.167897110179334,2.7544620769462603e-09,172.38156956733155,265.86845333702496,False,False,dominated
64,AMD,AMD CPU,2T,2,CPU package RAPL,6.159581298579428e-06,0.000451306826107,85.11747383233914,1.1617107689740482,2.7809819007266395e-09,173.1928170686408,267.81677571557367,False,False,dominated
64,AMD,AMD CPU,4T,4,CPU package RAPL,6.150596234245028e-06,0.0004517064495809,85.24181722105114,1.160683006599623,2.778044956810056e-09,172.79430702094908,268.1424703631332,False,False,dominated
64,AMD,AMD CPU,8T,8,CPU package RAPL,6.127075280692067e-06,0.0004459453095281,85.56904819696952,1.175677799044018,2.7324931305866e-09,171.7510939761345,263.44711936003466,False,False,dominated
64,AMD,AMD CPU,10T,10,CPU package RAPL,6.172419863974154e-06,0.0004541538549446,84.94043042341478,1.154428161936345,2.804459982261312e-09,173.76223951430507,270.13711502098226,False,False,dominated
64,AMD,AMD CPU,16T,16,CPU package RAPL,6.1467178740935855e-06,0.0004476439363255,85.29560177305407,1.1712165796405851,2.7529329016632667e-09,172.6222920601881,264.8315066451842,False,False,dominated
64,AMD,AMD CPU,20T,20,CPU package RAPL,6.173973482929481e-06,0.0004533963301336,84.91905600981481,1.1563569556143312,2.799909293554025e-09,173.8311463958743,269.51972942566556,False,False,dominated
64,AMD,AMD CPU,32T,32,CPU package RAPL,6.158818006621535e-06,0.0004516739233829,85.12802285054077,1.1607665903606803,2.7826103914602046e-09,173.15896316362443,268.1159613883459,False,False,dominated
64,AMD,AMD CPU,64T,64,CPU package RAPL,6.150360338662764e-06,0.0004512140479586,85.2450866503202,1.1619496386958783,2.7774314011750022e-09,172.78384446261455,267.7411611725903,False,False,dominated
64,INTEL,Intel CPU,1T,1,CPU package RAPL,2.27955353191567e-06,0.0001302476983123,229.99591484013263,4.0253148945703,2.955619710912405e-10,1.103893406916634,6.152368336318159,False,False,runtime_efficient_compromise
64,INTEL,Intel CPU,2T,2,CPU package RAPL,2.3341587456962664e-06,0.0001422062872677,224.6153998594504,3.686813080303828,3.315061385578318e-10,3.5257710405143916,15.898663710632398,False,False,dominated
64,INTEL,Intel CPU,4T,4,CPU package RAPL,2.495490320994838e-06,0.0001533466426762,210.09418293034705,3.41897279816594,3.8794209340223957e-10,10.681229407157456,24.978095639518227,False,False,dominated
64,INTEL,Intel CPU,8T,8,CPU package RAPL,2.38046757703582e-06,0.0001511939551011,220.2458059323153,3.467651862466462,3.5991294544620287e-10,5.579683388700607,23.22364709765521,False,False,dominated
64,INTEL,Intel CPU,10T,10,CPU package RAPL,2.2824659460891084e-06,0.0001300904409313,229.70244129965724,4.030180820717438,2.967401140859297e-10,1.2330662506447876,6.024202974105841,False,False,runtime_efficient_compromise
64,INTEL,Intel CPU,16T,16,CPU package RAPL,2.2546644398164424e-06,0.0001226988152536,232.5348245802305,4.272967093580941,2.7486604971657544e-10,0.0,0.0,True,True,dominant_or_practically_equivalent
