metric,policy,lower_is_better,problem_size,best_cpu,best_cpu_label,best_cpu_configuration,best_cpu_selection_status,best_cpu_value,best_gpu,best_gpu_label,best_gpu_configuration,best_gpu_selection_status,best_gpu_value,cpu_over_gpu_ratio,ratio_ci95_low,ratio_ci95_high,classification,probability_cpu_better,cliffs_delta_cpu_minus_gpu,cpu_energy_domain,gpu_energy_domain,inference_scope
energy_j,energy_opt,True,64,INTEL,Intel CPU,16T,tie_or_uncertain,0.0001315633664435,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,0.0003301833153612,0.39845552553004643,0.3917805051369826,0.5653504186772594,clear_CPU,1.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,128,INTEL,Intel CPU,4T,clear_leader,0.0011816319297914,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,0.0004243214979824,2.7847562176555374,2.375961061361819,2.904733229762632,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,256,INTEL,Intel CPU,8T,clear_leader,0.0055139437543533,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,0.0012476624035895,4.419419659107938,4.1811525657554105,4.5684887732686414,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,512,INTEL,Intel CPU,8T,tie_or_uncertain,0.0398910669031931,5060ti,RTX 5060 Ti,gpu_resident,single_configuration,0.007332893847194,5.4400169611698095,5.02429561898428,5.5265539725666315,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,1024,INTEL,Intel CPU,8T,clear_leader,0.2627173336594912,3090,RTX 3090,gpu_resident,single_configuration,0.0405251289432649,6.48282536071125,6.1858544052430675,6.752749656597166,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,2048,AMD,AMD CPU,64T,clear_leader,1.998782991735537,3090,RTX 3090,gpu_resident,single_configuration,0.2575174506828528,7.761738035365807,7.659109961457559,7.901502912362088,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,4096,AMD,AMD CPU,64T,clear_leader,14.17582722222222,3090,RTX 3090,gpu_resident,single_configuration,1.798779005524862,7.88080535667909,7.5546673957860655,8.126269157047453,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,8192,AMD,AMD CPU,64T,clear_leader,116.35490383333334,3090,RTX 3090,gpu_resident,single_configuration,13.693625,8.497012575803216,8.334947149981591,8.617002397883123,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
energy_j,energy_opt,True,16384,AMD,AMD CPU,64T,clear_leader,921.1224775,3090,RTX 3090,gpu_resident,single_configuration,111.708625,8.245759694025416,8.010456927905269,8.362072745054377,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,64,INTEL,Intel CPU,16T,tie_or_uncertain,2.476036837876259e-06,3090,RTX 3090,gpu_resident,single_configuration,5.265390629524527e-06,0.47024751098093726,0.4657789817091043,0.5414276824239862,clear_CPU,1.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,128,INTEL,Intel CPU,8T,tie_or_uncertain,1.178946383237596e-05,3090,RTX 3090,gpu_resident,single_configuration,5.186626183838249e-06,2.273050614118372,2.1359882536970165,2.470287432648114,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,256,INTEL,Intel CPU,8T,clear_leader,3.926455906821964e-05,3090,RTX 3090,gpu_resident,single_configuration,7.282658879559572e-06,5.391514241923989,5.198717835616756,5.630675339258296,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,512,INTEL,Intel CPU,16T,tie_or_uncertain,0.0002529232124874,3090,RTX 3090,gpu_resident,single_configuration,2.2870950780696337e-05,11.058710016588975,10.968142294229645,11.505658097624929,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,1024,AMD,AMD CPU,32T,tie_or_uncertain,0.0016064703525641,3090,RTX 3090,gpu_resident,single_configuration,0.0001221521401243,13.151389332429067,13.054019614379127,14.662204370996594,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,2048,AMD,AMD CPU,64T,tie_or_uncertain,0.0083304173553719,3090,RTX 3090,gpu_resident,single_configuration,0.0007647087155963,10.893582334648896,10.66432835455584,11.057788701105807,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,4096,AMD,AMD CPU,32T,tie_or_uncertain,0.0542776052631578,3090,RTX 3090,gpu_resident,single_configuration,0.0055562472222222,9.768752737652605,9.476022735169492,10.290333853435271,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,8192,AMD,AMD CPU,32T,clear_leader,0.4591805,3090,RTX 3090,gpu_resident,single_configuration,0.041750125,10.998302400292214,10.869025342239494,11.184146155251032,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
runtime_s,runtime_opt,True,16384,AMD,AMD CPU,32T,tie_or_uncertain,3.469416,3090,RTX 3090,gpu_resident,single_configuration,0.332657375,10.429397514484686,9.982924623270417,10.922355170992377,clear_GPU,0.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,64,INTEL,Intel CPU,16T,tie_or_uncertain,211.7448302787333,3090,RTX 3090,gpu_resident,single_configuration,99.57247940165531,2.126539698028381,1.8469687318590238,2.1469410155234017,clear_CPU,1.0,1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,128,INTEL,Intel CPU,8T,tie_or_uncertain,355.7671544384993,3090,RTX 3090,gpu_resident,single_configuration,808.6767488795765,0.43993741001137415,0.4048111919219109,0.4681673685560666,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,256,INTEL,Intel CPU,8T,clear_leader,854.5729990677175,3090,RTX 3090,gpu_resident,single_configuration,4607.442495237295,0.18547664999641084,0.17759858982239343,0.19235512132413396,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,512,INTEL,Intel CPU,16T,tie_or_uncertain,1061.3318301631675,3090,RTX 3090,gpu_resident,single_configuration,11736.960941150131,0.09042646009343924,0.08691375943166835,0.09117314246790009,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,1024,AMD,AMD CPU,32T,tie_or_uncertain,1336.7714160254402,3090,RTX 3090,gpu_resident,single_configuration,17580.401340613073,0.07603759380266933,0.0682025686381856,0.07660475696684955,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,2048,AMD,AMD CPU,64T,tie_or_uncertain,2062.305938720045,3090,RTX 3090,gpu_resident,single_configuration,22465.899542682186,0.09179716729356603,0.09043399426686438,0.0937705560775233,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,4096,AMD,AMD CPU,32T,tie_or_uncertain,2532.148439593924,3090,RTX 3090,gpu_resident,single_configuration,24735.93200142592,0.10236721379440875,0.09717857692888798,0.10552950620185628,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,8192,AMD,AMD CPU,32T,clear_leader,2394.508538093408,3090,RTX 3090,gpu_resident,single_configuration,26335.52900203293,0.09092312282424884,0.0894122793209827,0.09200456973025663,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
throughput_gflops,throughput_opt,False,16384,AMD,AMD CPU,32T,tie_or_uncertain,2535.323818823687,3090,RTX 3090,gpu_resident,single_configuration,26441.89993445358,0.09588281572460611,0.09155534537604154,0.10017104583450205,clear_GPU,0.0,-1.0,CPU package RAPL,GPU board NVML,descriptive_native_best_post_selection
