problem_size,objective,configuration,num_threads,value,exact_winner,within_2pct
1,runtime,10T,10,0.004556165535714285,False,True
1,runtime,20T,20,0.0045348652400881055,True,True
1,energy,20T,20,0.7182687139639639,True,True
1,edp,20T,20,0.003255098465439951,True,True
1,throughput,10T,10,1623.8995739465126,False,True
1,throughput,20T,20,1631.5264917334175,True,True
1,energy_efficiency,20T,20,10.30081491639567,True,True
2,runtime,10T,10,0.0023674438376168226,False,True
2,runtime,20T,20,0.002361085551172708,True,True
2,energy,20T,20,0.37917318336886996,True,True
2,edp,20T,20,0.0008969229826298016,True,True
2,throughput,10T,10,1562.6040496452529,False,True
2,throughput,20T,20,1566.8118156473274,True,True
2,energy_efficiency,20T,20,9.756428710542847,True,True
3,runtime,10T,10,0.0022424372312373226,False,True
3,runtime,20T,20,0.0022411155,True,True
3,energy,10T,10,0.358497366972477,True,True
3,edp,10T,10,0.000816850894909159,True,True
3,throughput,10T,10,1649.7123307741408,False,True
3,throughput,20T,20,1650.6860670005929,True,True
3,energy_efficiency,10T,10,10.31911672920648,True,True
4,runtime,20T,20,0.0024914947426470588,True,True
4,energy,10T,10,0.410718193902439,True,True
4,energy,16T,16,0.4146873237704918,False,True
4,edp,10T,10,0.00105623563848948,True,True
4,throughput,20T,20,1484.8021720849576,True,True
4,energy_efficiency,10T,10,9.007090980454887,True,True
4,energy_efficiency,16T,16,8.920883550422381,False,True
5,runtime,10T,10,0.00631740548136646,True,True
5,energy,8T,8,1.0133582843137252,True,True
5,energy,10T,10,1.0173943726708075,False,True
5,edp,10T,10,0.006429500282903248,True,True
5,throughput,10T,10,1195.5705709724048,True,True
5,energy_efficiency,8T,8,7.45333036217731,True,True
5,energy_efficiency,10T,10,7.423761262966975,False,True
6,runtime,20T,20,0.009699942182692307,True,True
6,energy,10T,10,1.5926298834951456,True,True
6,energy,20T,20,1.6082024466019418,False,True
6,edp,10T,10,0.015768492103820135,False,True
6,edp,20T,20,0.01563554001690858,True,True
6,throughput,10T,10,1328.9600412031027,False,True
6,throughput,20T,20,1356.0222445206996,True,True
6,energy_efficiency,10T,10,8.258879362860139,True,True
6,energy_efficiency,20T,20,8.178906441840255,False,True
